section,summary
image,source,compressed_MB,installed_MB,packages
alpine:latest,cache,-,8.02,14
debian:12,cache,-,114.76,88
ubuntu:24.04,cache,-,92.32,92
busybox:latest,cache,-,1.00,2

section,packages
package,alpine_latest_version,alpine_latest_installed_MB,debian_12_version,debian_12_installed_MB,ubuntu_24_04_version,ubuntu_24_04_installed_MB,busybox_latest_version,busybox_latest_installed_MB
libpam-runtime,-,-,1.5.2-6+deb12u2,0.86,1.5.3-5ubuntu5.5,0.27,-,-
libpam0g,-,-,1.5.2-6+deb12u2,0.21,1.5.3-5ubuntu5.5,0.20,-,-
libpcre2-8-0,-,-,10.42-1,0.67,10.42-4ubuntu2.1,0.62,-,-
libproc2-0,-,-,-,-,2:4.0.4-4ubuntu3.2,0.23,-,-
libseccomp2,-,-,2.5.4-1+deb12u1,0.14,2.5.5-1ubuntu3.1,0.14,-,-
libselinux1,-,-,3.4-1+b6,0.19,3.5-2ubuntu2.1,0.20,-,-
libsemanage-common,-,-,3.4-1,0.04,3.5-1build5,0.03,-,-
libsemanage2,-,-,3.4-1+b5,0.29,3.5-1build5,0.28,-,-
libsepol2,-,-,3.4-2.1,0.76,3.5-2build1,0.73,-,-
libsmartcols1,-,-,2.38.1-5+deb12u3,0.28,2.39.3-9ubuntu6.4,0.17,-,-
libss2,-,-,1.47.0-2+b2,0.07,1.47.0-2.4~exp1ubuntu4.1,0.07,-,-
libssl3,3.5.5-r0,0.80,-,-,-,-,-,-
libssl3t64,-,-,-,-,3.0.13-0ubuntu3.6,6.45,-,-
libstdc++6,-,-,12.2.0-14+deb12u1,2.62,14.2.0-4ubuntu2~24.04,3.04,-,-
libsystemd0,-,-,252.39-1~deb12u1,0.89,255.4-1ubuntu8.12,1.00,-,-
libtasn1-6,-,-,4.19.0-2+deb12u1,0.11,4.19.0-3ubuntu0.24.04.2,0.12,-,-
libtinfo6,-,-,6.4-4,0.53,6.4+20240113-1ubuntu2,0.54,-,-
libudev1,-,-,252.39-1~deb12u1,0.23,255.4-1ubuntu8.12,0.31,-,-
libunistring2,-,-,1.0-2,1.76,-,-,-,-
libunistring5,-,-,-,-,1.1-2build1.1,1.72,-,-
libuuid1,-,-,2.38.1-5+deb12u3,0.08,2.39.3-9ubuntu6.4,0.08,-,-
libxxhash0,-,-,0.8.1-1,0.10,0.8.2-2build1,0.09,-,-
libzstd1,-,-,1.5.4+dfsg2-5,0.77,1.5.5+dfsg2-2build1.1,0.74,-,-
login,-,-,1:4.13+dfsg1-1+deb12u2,2.49,1:4.13+dfsg1-4ubuntu3.2,0.86,-,-
logsave,-,-,1.47.0-2+b2,0.05,1.47.0-2.4~exp1ubuntu4.1,0.05,-,-
mawk,-,-,1.3.4.20200120-3.1,0.26,1.3.4.20240123-1build1,0.27,-,-
mount,-,-,2.38.1-5+deb12u3,0.38,2.39.3-9ubuntu6.4,0.34,-,-
musl,1.2.5-r21,0.63,-,-,-,-,-,-
musl-utils,1.2.5-r21,0.05,-,-,-,-,-,-
ncurses-base,-,-,6.4-4,0.37,6.4+20240113-1ubuntu2,0.38,-,-
ncurses-bin,-,-,6.4-4,0.62,6.4+20240113-1ubuntu2,0.63,-,-
passwd,-,-,1:4.13+dfsg1-1+deb12u2,2.76,1:4.13+dfsg1-4ubuntu3.2,2.36,-,-
perl-base,-,-,5.36.0-7+deb12u3,7.46,5.38.2-3.2ubuntu0.2,7.73,-,-
procps,-,-,-,-,2:4.0.4-4ubuntu3.2,1.76,-,-
scanelf,1.3.8-r2,0.06,-,-,-,-,-,-
sed,-,-,4.9-1,0.96,4.9-2build1,0.33,-,-
sensible-utils,-,-,-,-,0.0.22,0.06,-,-
ssl_client,1.37.0-r30,0.01,-,-,-,-,-,-
sysvinit-utils,-,-,3.06-4,0.10,3.08-6ubuntu3,0.10,-,-
tar,-,-,1.34+dfsg-1.2+deb12u1,3.07,1.35+dfsg-3build1,0.69,-,-
tzdata,-,-,2025b-0+deb12u2,2.50,-,-,-,-
ubuntu-keyring,-,-,-,-,2023.11.28.1,0.03,-,-
unminimize,-,-,-,-,0.2.1,0.02,-,-
usr-is-merged,-,-,37~deb12u1,0.01,-,-,-,-
util-linux,-,-,2.38.1-5+deb12u3,4.86,2.39.3-9ubuntu6.4,3.36,-,-
util-linux-extra,-,-,2.38.1-5+deb12u3,0.36,-,-,-,-
zlib,1.3.1-r2,0.10,-,-,-,-,-,-
zlib1g,-,-,1:1.2.13.dfsg-1,0.16,1:1.3.dfsg-3.1ubuntu2.1,0.16,-,-
